username,connections_count,followers_count,following_count,activity_count,number_of_posts,account_age_days,bio_length,has_profile_pic,has_cover_photo,followers_following_ratio,label
suman905,4861,183,4678,6,48,179,47,0,1,0.04,1
shivalikale,1072,265,807,14,28,13,24,0,1,0.33,1
pooja291,82277,81951,326,2905,1615,248,114,1,1,251.38,0
vihaanshinde,4871,143,4728,25,35,21,47,0,1,0.03,1
mrunal835,4783,156,4627,34,26,11,47,1,1,0.03,1
kavya_958,69062,67652,1410,3955,339,1194,54,1,0,47.98,0
arjunpatil,80421,79579,842,2787,693,2732,128,1,0,94.51,0
sneha.kadam,57910,56019,1891,3921,513,561,142,1,1,29.62,0
pooja_65,80748,79560,1188,1629,1289,2690,105,1,1,66.97,0
nikhil_sharma,42057,41913,144,1380,1676,553,154,1,1,291.06,0
pooja_kadam,1019,58,961,48,21,26,21,1,0,0.06,1
yogesh.joshi,14056,12067,1989,2442,635,1974,107,1,0,6.07,0
priya884,29182,28913,269,3964,1345,2544,85,1,1,107.48,0
arjun_680,42884,41474,1410,445,929,1940,56,1,0,29.41,0
vivaan525,62328,60872,1456,4256,1225,1929,99,1,0,41.81,0
ankit_bhise,1140,59,1081,80,45,7,48,0,1,0.05,1
nikita_508,75997,75650,347,1076,1532,220,80,1,1,218.01,0
ankit_839,91818,91291,527,3028,1663,2560,70,1,0,173.23,0
sai_794,1628,86,1542,79,7,137,0,1,1,0.06,1
kavya.joshi,1587,358,1229,295,1934,2997,131,1,0,0.29,0
yogeshpawar,1181,258,923,17,34,112,29,0,0,0.28,1
riya_495,2784,137,2647,33,25,143,41,1,1,0.05,1
neha_kamble,64229,62904,1325,4907,1667,2333,74,1,1,47.47,0
vihaan.patil,5913,4557,1356,2257,1163,1660,90,1,0,3.36,0
aaravgaikwad,53355,53068,287,4111,214,2516,101,1,0,184.91,0
pooja261,23657,21874,1783,2339,1992,1021,57,1,0,12.27,0
sneha_612,49174,47620,1554,2311,139,749,149,1,1,30.64,0
nikita965,77273,76409,864,1758,774,2295,102,1,0,88.44,0
prajkta_525,76382,74466,1916,3538,262,2202,152,1,0,38.87,0
mrunal_543,51236,50868,368,4200,1938,1800,110,1,0,138.23,0
prajkta_shinde,1148,242,906,37,15,66,42,0,1,0.27,1
amit_bhise,4795,92,4703,71,5,41,46,1,0,0.02,1
rahul_612,18619,18327,292,3944,631,1220,58,1,1,62.76,0
prathamesh_joshi,75251,73407,1844,3012,650,1499,54,1,1,39.81,0
sneha_794,64572,62827,1745,2091,1750,1153,106,1,1,36.0,0
rohan_465,16265,15913,352,1174,803,1631,53,1,0,45.21,0
shreya_pawar,4268,84,4184,59,25,6,7,1,1,0.02,1
rahulshinde,11915,10672,1243,325,1984,2163,68,1,0,8.59,0
sai.bhise,3151,57,3094,79,19,17,48,0,0,0.02,1
rohan110,71542,69920,1622,4388,1348,2277,108,1,1,43.11,0
nikhil.gaikwad,1595,41,1554,15,10,23,24,0,1,0.03,1
amit.patil,1357,103,1254,16,37,48,4,0,0,0.08,1
aishwarya.mehta,4573,11,4562,7,33,2,21,1,0,0.0,1
arjun.chavhan,39999,39935,64,1203,678,2476,65,1,0,623.98,0
sneha_kharat,74625,74522,103,465,195,720,101,1,0,723.51,0
amit927,1374,278,1096,7,50,148,39,0,1,0.25,1
sumanjoshi,72155,70566,1589,3183,929,599,126,1,1,44.41,0
sumansutar,76737,75073,1664,1961,744,1903,138,1,1,45.12,0
ananya_877,2818,209,2609,22,30,178,22,0,1,0.08,1
mrunal_kulkarni,34516,33431,1085,1996,1463,2614,157,1,1,30.81,0
ananya_jadhav,4250,84,4166,72,27,158,21,0,1,0.02,1
ananya.sharma,996,96,900,4,33,131,46,1,1,0.11,1
neha124,4029,285,3744,11,12,160,12,0,0,0.08,1
snehakharat,4500,7,4493,11,15,116,4,1,0,0.0,1
sai_490,2757,258,2499,74,25,147,2,1,1,0.1,1
aarav_244,97722,96191,1531,4334,174,1685,116,1,0,62.83,0
prathamesh778,22728,20798,1930,313,791,2061,148,1,1,10.78,0
aarav_shinde,71700,71624,76,4973,303,332,131,1,1,942.42,0
vihaan567,339,10,329,39,36,161,26,0,1,0.03,1
nikhilsingh,3452,116,3336,66,49,64,2,0,0,0.03,1
rohan_732,919,156,763,2,43,102,42,1,0,0.2,1
rahul.jadhav,63098,61122,1976,4103,1817,2058,51,1,1,30.93,0
vivaan390,2479,36,2443,67,31,164,0,1,1,0.01,1
neha_gaikwad,1120,294,826,57,26,58,38,0,1,0.36,1
sureshshinde,4816,178,4638,17,34,75,2,1,1,0.04,1
aishwarya_760,94864,94480,384,2958,279,213,52,1,1,246.04,0
prajkta_933,776,265,511,2,29,111,17,0,1,0.52,1
sai.chavhan,38916,38270,646,2406,384,486,104,1,0,59.24,0
prajkta_kulkarni,1601,957,644,3494,1161,2078,129,1,1,1.49,0
krishna_shinde,6491,6012,479,3787,1287,2700,101,1,0,12.55,0
nikhil_493,79357,79169,188,1836,1613,2102,99,1,0,421.11,0
riyasingh,1911,93,1818,50,17,20,1,1,1,0.05,1
arjun_singh,1409,130,1279,13,30,104,7,0,1,0.1,1
aishwarya695,769,110,659,14,31,142,28,1,1,0.17,1
amit348,3227,64,3163,0,48,92,35,0,1,0.02,1
rohan_27,49949,49619,330,2186,917,1178,82,1,0,150.36,0
sai.sutar,4770,34,4736,36,18,79,30,0,1,0.01,1
suresh_321,3622,46,3576,57,25,150,0,0,1,0.01,1
mrunal.sharma,79699,78132,1567,1723,629,2519,85,1,1,49.86,0
suresh7,3254,284,2970,14,8,13,39,0,1,0.1,1
prajkta.kharat,74750,74611,139,1986,934,1405,137,1,0,536.77,0
kunal_161,4429,266,4163,55,3,102,0,0,1,0.06,1
pooja_bhise,56862,55289,1573,4774,1749,2582,137,1,1,35.15,0
shreya565,3430,187,3243,16,28,145,19,0,0,0.06,1
nehabhise,25034,23265,1769,4818,140,1129,115,1,1,13.15,0
shivalibhise,27386,26985,401,3557,665,446,126,1,1,67.29,0
arjun.patil,5635,4294,1341,4905,1271,1756,150,1,0,3.2,0
aaravsingh,9851,8456,1395,2265,540,2918,73,1,1,6.06,0
sneha_mehta,98959,98360,599,873,1874,394,121,1,0,164.21,0
shivali_784,1531,173,1358,79,40,27,29,0,1,0.13,1
nikhil.patel,1895,275,1620,13,47,30,7,1,0,0.17,1
rohan596,4355,271,4084,22,32,4,23,1,1,0.07,1
aaravjoshi,2739,1172,1567,4451,189,2973,67,1,0,0.75,0
nikhil_gaikwad,68731,67547,1184,4840,723,992,117,1,1,57.05,0
pooja98,648,150,498,78,35,97,41,1,1,0.3,1
suresh151,2885,276,2609,60,28,37,31,1,1,0.11,1
suman335,4657,199,4458,78,45,105,2,0,0,0.04,1
ananya_112,65461,63558,1903,2841,112,513,149,1,0,33.4,0
krishna_927,55350,54403,947,3714,1816,1826,95,1,0,57.45,0
kunal905,3425,107,3318,70,5,146,5,1,1,0.03,1
krishnasutar,54892,54560,332,812,1428,603,116,1,1,164.34,0
saisingh,1074,285,789,59,43,98,2,0,1,0.36,1
ananyakharat,3973,192,3781,8,2,127,28,1,0,0.05,1
vihaan_657,1438,243,1195,5,23,96,31,0,1,0.2,1
aarav_pawar,590,202,388,8,44,124,10,0,1,0.52,1
ankit798,32937,31556,1381,3927,1061,1028,59,1,1,22.85,0
rohan_276,46897,46590,307,238,1605,1338,68,1,1,151.76,0
amit_565,73629,72344,1285,2646,464,375,93,1,1,56.3,0
riya938,4797,231,4566,38,10,2,18,1,1,0.05,1
yogesh_408,1727,147,1580,66,31,15,49,1,0,0.09,1
suresh_bhise,2182,99,2083,37,48,60,11,0,1,0.05,1
nikhilchavhan,43827,43192,635,4585,1474,950,158,1,0,68.02,0
kavya_kadam,44928,44059,869,2972,1617,1808,107,1,1,50.7,0
sneha206,35244,34239,1005,1336,743,1022,58,1,0,34.07,0
vivaan.shinde,26385,24501,1884,3882,1748,609,114,1,0,13.0,0
aarav737,13975,13630,345,798,1709,2036,51,1,0,39.51,0
nikita318,1241,198,1043,45,12,36,50,0,0,0.19,1
riya706,91021,90523,498,4364,1840,2363,72,1,0,181.77,0
kunal76,83380,81615,1765,4934,864,321,135,1,0,46.24,0
shreyapatil,3824,175,3649,13,0,53,32,1,1,0.05,1
krishna271,4764,268,4496,70,4,94,14,1,1,0.06,1
sai789,47655,46287,1368,4189,1317,969,150,1,1,33.84,0
rohan.shinde,93520,92408,1112,3667,1089,540,106,1,0,83.1,0
nehasingh,1079,155,924,23,50,96,48,0,1,0.17,1
aditya.kale,51402,49833,1569,2170,1396,344,103,1,0,31.76,0
mrunal889,1135,67,1068,30,0,116,31,0,0,0.06,1
saikale,2283,271,2012,78,8,96,1,0,1,0.13,1
shreya_kulkarni,65817,64125,1692,2331,1498,1307,133,1,0,37.9,0
yogesh910,1805,24,1781,39,12,25,9,0,0,0.01,1
sai_patil,2590,104,2486,0,47,154,41,0,1,0.04,1
arjun_215,42916,41672,1244,2258,283,2957,131,1,1,33.5,0
suresh_309,4079,220,3859,57,24,82,41,0,0,0.06,1
mrunal_kadam,4881,181,4700,43,40,117,35,0,0,0.04,1
shivali_444,68719,68323,396,4109,948,2436,131,1,1,172.53,0
aishwarya622,45569,43575,1994,2648,308,1674,127,1,0,21.85,0
arjun382,1001,121,880,60,25,169,23,1,1,0.14,1
divya_315,61302,59932,1370,4441,723,1219,92,1,1,43.75,0
ananya_kadam,4519,101,4418,44,41,144,22,0,1,0.02,1
amit.gaikwad,3735,158,3577,13,49,32,23,1,1,0.04,1
mrunal_patel,2400,163,2237,5,19,34,17,1,1,0.07,1
kavya_kharat,4217,142,4075,31,7,74,14,1,1,0.03,1
arjun_patel,3148,299,2849,73,2,180,17,0,1,0.1,1
krishna.bhise,26555,25846,709,3867,65,2938,58,1,0,36.45,0
krishnachavhan,2548,109,2439,79,30,47,39,0,1,0.04,1
kunalkharat,2333,92,2241,78,17,97,34,1,0,0.04,1
sneha_kamble,5017,88,4929,59,33,6,26,1,1,0.02,1
prajkta759,64035,63794,241,1519,817,2060,115,1,0,264.71,0
divyasharma,96846,95416,1430,501,395,2098,132,1,0,66.72,0
riya_753,719,131,588,33,4,77,15,0,0,0.22,1
arjun.kharat,1044,230,814,13,36,180,23,1,0,0.28,1
yogesh_459,97429,96908,521,3061,1873,2009,156,1,0,186.0,0
pooja.bhise,50560,50318,242,1640,1810,576,117,1,0,207.93,0
riya_sutar,57017,56854,163,3115,209,1928,55,1,0,348.8,0
nikhilkharat,1510,115,1395,77,46,32,41,0,0,0.08,1
ishaanjadhav,658,248,410,63,2,166,6,0,1,0.6,1
aishwarya96,48309,46729,1580,4202,1021,1772,121,1,1,29.58,0
ishaan_kadam,56390,55038,1352,3048,861,1339,52,1,1,40.71,0
prajkta325,801,258,543,75,38,165,23,1,1,0.48,1
kunal_278,546,112,434,26,16,110,6,1,1,0.26,1
ananya.patel,15218,14912,306,4791,229,776,111,1,0,48.73,0
sumanjoshi,26195,24545,1650,2135,77,1453,97,1,1,14.88,0
prajkta558,45409,43995,1414,3678,1189,1478,76,1,0,31.11,0
ananya_18,1040,278,762,74,26,132,41,1,1,0.36,1
shivali_235,8557,6721,1836,1788,1629,1398,117,1,1,3.66,0
sneha_341,12297,10999,1298,2490,1576,2170,59,1,0,8.47,0
vivaan.kale,1827,87,1740,0,0,59,26,0,0,0.05,1
suman538,2898,81,2817,30,5,47,50,1,0,0.03,1
divya368,2885,1149,1736,1474,1505,2634,91,1,1,0.66,0
sneha.pawar,4808,80,4728,72,39,143,12,0,0,0.02,1
suman_kharat,2150,68,2082,66,50,107,12,1,0,0.03,1
suman926,62207,61528,679,1241,1417,1744,98,1,0,90.62,0
pooja62,1732,141,1591,54,16,139,8,0,0,0.09,1
prathamesh_408,405,66,339,40,10,167,49,0,1,0.19,1
vivaan.sutar,33420,32877,543,2229,868,618,125,1,1,60.55,0
riyasharma,4835,51,4784,23,15,71,33,0,1,0.01,1
divya_kamble,5631,4143,1488,1910,1397,2884,96,1,1,2.78,0
rohan_jadhav,64911,63828,1083,3061,445,952,96,1,0,58.94,0
divya.kharat,1221,72,1149,70,36,173,38,1,1,0.06,1
mrunal.kulkarni,1352,166,1186,28,6,136,2,0,0,0.14,1
ankit.shinde,655,112,543,4,47,21,14,1,0,0.21,1
neha_patil,4334,205,4129,80,4,47,10,0,0,0.05,1
aishwarya_kale,37262,35831,1431,2467,1118,1990,121,1,0,25.04,0
vivaan_735,51067,49134,1933,2130,514,1158,101,1,0,25.42,0
ananyakadam,18175,16610,1565,2078,891,551,75,1,0,10.61,0
divya_605,3312,158,3154,60,50,71,6,1,0,0.05,1
suresh.gaikwad,5096,129,4967,71,26,56,32,0,1,0.03,1
shreya_joshi,995,259,736,10,42,176,12,1,1,0.35,1
mrunal_870,15647,14705,942,4315,1499,1680,81,1,1,15.61,0
ishaanpawar,1213,194,1019,28,33,2,30,0,0,0.19,1
pooja.chavhan,28761,27094,1667,2531,819,308,68,1,0,16.25,0
prajktakadam,100873,99233,1640,508,273,1487,57,1,0,60.51,0
rahul121,35687,34515,1172,4601,1270,643,55,1,1,29.45,0
nikhilkale,2925,46,2879,7,18,112,23,1,1,0.02,1
ishaan835,1210,177,1033,47,41,31,19,0,1,0.17,1
ankitbhise,97154,96899,255,2522,445,218,133,1,1,380.0,0
shivali_804,5225,250,4975,21,39,28,44,1,0,0.05,1
shivalipawar,45903,45326,577,1612,1315,942,157,1,1,78.55,0
vihaanpawar,1115,112,1003,66,5,153,37,0,1,0.11,1
kunal.mehta,1121,109,1012,40,37,110,27,0,0,0.11,1
kavya_573,4317,24,4293,19,8,103,7,0,1,0.01,1
sneha_kulkarni,60960,60255,705,337,631,421,149,1,1,85.47,0
priya_781,5772,4417,1355,249,1207,1608,128,1,1,3.26,0
suresh_sharma,4242,122,4120,11,25,103,31,1,1,0.03,1
suman_mehta,2866,228,2638,53,6,80,36,0,0,0.09,1
rohan_kulkarni,1540,68,1472,31,1,179,41,1,0,0.05,1
divya_singh,96341,95205,1136,3960,1129,2540,97,1,0,83.81,0
divya_357,834,232,602,7,5,83,44,0,1,0.39,1
ishaan_623,2103,114,1989,3,49,32,47,0,0,0.06,1
sai_181,79982,79206,776,784,230,2542,126,1,1,102.07,0
rohan.chavhan,4510,70,4440,33,46,47,31,1,0,0.02,1
poojakamble,42915,42001,914,4523,1951,532,70,1,1,45.95,0
aishwarya_933,1438,10,1428,13,9,37,28,1,0,0.01,1
aarav_143,4397,156,4241,40,26,73,35,0,1,0.04,1
priya.patel,98925,97043,1882,2238,1120,441,88,1,0,51.56,0
shivali27,15814,14367,1447,2767,1157,1673,54,1,0,9.93,0
prajkta_sutar,36708,34984,1724,4034,229,1066,103,1,1,20.29,0
shreya_bhise,3690,281,3409,50,7,166,42,0,1,0.08,1
divya_sharma,3369,4,3365,30,13,79,44,0,1,0.0,1
aishwarya.patil,3789,276,3513,6,50,81,17,0,1,0.08,1
priyajadhav,2174,42,2132,27,23,53,4,1,1,0.02,1
suresh.sharma,25978,25112,866,972,63,1292,99,1,1,29.0,0
yogesh.singh,52764,51715,1049,4877,1232,663,127,1,0,49.3,0
aishwarya950,11905,10538,1367,933,512,1525,88,1,1,7.71,0
mrunalsutar,92318,91495,823,1129,1336,2803,107,1,0,111.17,0
arjun_singh,82672,80930,1742,2280,1220,976,73,1,1,46.46,0
sureshkale,2169,17,2152,45,13,22,24,1,1,0.01,1
sai.jadhav,82832,82376,456,3142,1832,2176,141,1,0,180.65,0
aaravchavhan,3403,15,3388,54,7,16,12,0,0,0.0,1
yogesh_529,77321,76685,636,4208,1706,432,120,1,1,120.57,0
sai_666,10890,9915,975,1412,689,2383,142,1,1,10.17,0
divya272,24223,23516,707,3227,586,1900,50,1,0,33.26,0
ankit_kulkarni,1784,233,1551,80,45,92,12,0,1,0.15,1
priyashinde,3704,280,3424,66,43,43,28,0,0,0.08,1
ankit_368,12169,10843,1326,2350,325,2328,65,1,0,8.18,0
aarav_186,54454,53828,626,4409,1800,1876,68,1,1,85.99,0
poojabhise,73581,72271,1310,942,1446,1144,102,1,1,55.17,0
vivaan_kamble,696,58,638,21,31,179,39,0,1,0.09,1
divya_515,4935,144,4791,44,34,162,16,0,1,0.03,1
prajkta_chavhan,1219,92,1127,53,3,134,17,1,0,0.08,1
kavya.sharma,1814,160,1654,27,20,125,47,1,1,0.1,1
vivaan.kadam,1828,214,1614,53,15,155,20,1,1,0.13,1
sumansingh,3529,2072,1457,2203,1900,2346,57,1,1,1.42,0
aishwarya_kadam,47654,45828,1826,3386,446,1363,90,1,1,25.1,0
vihaan.kadam,20262,19630,632,3184,1150,974,146,1,1,31.06,0
vivaan.pawar,4031,134,3897,32,28,31,29,1,1,0.03,1
aditya.kulkarni,1740,225,1515,51,50,79,11,1,0,0.15,1
ananyakadam,91841,91570,271,3631,786,2742,95,1,1,337.9,0
suresh472,4924,9,4915,0,45,110,38,0,0,0.0,1
saikadam,1526,100,1426,19,6,124,30,0,1,0.07,1
aditya379,2810,172,2638,60,12,131,39,0,1,0.07,1
saikharat,9129,7291,1838,147,1222,2791,85,1,1,3.97,0
ishaan562,32912,31661,1251,3268,1575,2716,90,1,1,25.31,0
arjun_552,3666,167,3499,55,40,132,40,1,1,0.05,1
sureshbhise,12451,10767,1684,2739,1356,2061,114,1,1,6.39,0
prathamesh_238,15341,15106,235,2016,1047,882,135,1,0,64.28,0
yogeshbhise,3744,64,3680,6,1,9,38,0,0,0.02,1
suman_239,5068,144,4924,7,8,65,31,0,0,0.03,1
nehasingh,4079,137,3942,44,32,127,14,1,1,0.03,1
sai_154,3094,101,2993,37,25,158,8,0,0,0.03,1
rahul.kadam,91641,90407,1234,404,748,708,142,1,1,73.26,0
pooja.patil,69430,67606,1824,2932,1970,1224,121,1,0,37.06,0
nikita.mehta,73022,72945,77,3890,881,1769,124,1,1,947.34,0
nikhil_696,58726,57145,1581,306,262,212,122,1,1,36.14,0
vivaan.pawar,84044,83756,288,2876,1498,723,106,1,0,290.82,0
sneha_233,87269,86629,640,1721,361,2638,68,1,0,135.36,0
ishaangaikwad,13167,11211,1956,178,1437,2988,145,1,0,5.73,0
shreya_589,3791,2275,1516,321,697,1150,131,1,0,1.5,0
nikitabhise,20503,19994,509,4543,1732,2667,100,1,1,39.28,0
prajkta_bhise,19347,19174,173,2073,646,1155,91,1,0,110.83,0
vivaansharma,17380,15946,1434,981,574,2959,122,1,0,11.12,0
nikhil.chavhan,1093,233,860,1,36,76,34,0,1,0.27,1
sai_kale,601,37,564,73,40,32,1,1,0,0.07,1
kunal_101,2612,167,2445,39,11,146,39,1,1,0.07,1
vihaan.patil,3665,2803,862,4204,529,2689,115,1,0,3.25,0
ishaan164,95086,93690,1396,3411,723,1214,95,1,1,67.11,0
ankit.gaikwad,4943,255,4688,46,49,156,1,1,0,0.05,1
shivali_jadhav,13879,12642,1237,2987,1718,1264,72,1,0,10.22,0
sneha_739,4633,37,4596,55,12,6,27,0,0,0.01,1
riya785,69811,69709,102,4391,731,440,112,1,0,683.42,0
aarav_pawar,25362,23696,1666,3646,616,2027,154,1,1,14.22,0
sai_653,7880,7375,505,781,1664,2595,66,1,1,14.6,0
snehakadam,30668,29911,757,4703,1053,883,79,1,0,39.51,0
shreya147,62823,62304,519,2859,1459,1802,158,1,0,120.05,0
ankit_shinde,22611,22439,172,784,1818,387,157,1,1,130.46,0
mrunalbhise,99820,99572,248,2470,1822,2929,73,1,0,401.5,0
rohan_765,94187,93135,1052,3385,1659,1852,113,1,0,88.53,0
amit.singh,32103,31239,864,233,1633,2612,147,1,0,36.16,0
suman.patel,53430,52339,1091,3432,1021,2415,159,1,0,47.97,0
prathamesh764,1365,24,1341,70,8,45,3,0,0,0.02,1
sai.patel,4688,263,4425,45,28,88,1,0,0,0.06,1
sneha_kale,1497,273,1224,43,40,159,4,1,1,0.22,1
kavya.patil,91303,90061,1242,2580,1744,2901,53,1,0,72.51,0
shreyakadam,68934,68511,423,2947,1830,1487,117,1,0,161.96,0
riya834,3982,297,3685,79,46,171,5,0,1,0.08,1
rohan_patil,2347,220,2127,5,43,25,17,0,0,0.1,1
shreya.pawar,13342,13064,278,3915,1604,2994,61,1,0,46.99,0
aishwaryasharma,67582,66898,684,274,239,1389,157,1,0,97.8,0
nikita_34,50514,49868,646,1753,473,2200,87,1,1,77.2,0
ishaan_jadhav,51329,50335,994,3573,722,1119,52,1,0,50.64,0
divya.patil,3758,276,3482,23,48,164,25,0,1,0.08,1
arjun_kale,94740,93931,809,4589,1661,2080,65,1,0,116.11,0
suresh_patil,2728,17,2711,18,0,145,42,0,1,0.01,1
suresh_407,1439,285,1154,70,4,15,50,0,1,0.25,1
aditya510,12073,11534,539,3774,1095,554,108,1,0,21.4,0
rohan_328,5052,168,4884,51,17,117,3,0,0,0.03,1
krishnamehta,4798,281,4517,23,25,84,40,1,0,0.06,1
aarav_875,527,63,464,8,6,41,6,0,1,0.14,1
prathamesh_269,92406,91053,1353,1212,87,962,117,1,0,67.3,0
ankit.bhise,2295,220,2075,43,37,13,7,1,1,0.11,1
nikhil.kulkarni,1017,288,729,45,21,13,20,0,0,0.4,1
kunal206,73635,72198,1437,1816,981,536,95,1,1,50.24,0
nikita252,1331,218,1113,16,45,165,38,1,1,0.2,1
suman_455,89363,88455,908,2599,1950,1826,117,1,0,97.42,0
vihaan.chavhan,55575,55087,488,1298,973,2779,70,1,1,112.88,0
vivaan33,1491,83,1408,69,7,44,1,1,0,0.06,1
vihaan_singh,1444,151,1293,44,16,62,29,1,0,0.12,1
neha_921,466,119,347,48,29,131,20,0,0,0.34,1
priya_singh,75613,74222,1391,783,1727,204,113,1,0,53.36,0
amit.pawar,4884,4463,421,3084,186,559,140,1,1,10.6,0
shreya_646,2697,202,2495,69,3,91,29,0,0,0.08,1
vivaan_chavhan,75273,74988,285,3135,531,410,93,1,0,263.12,0
arjun_542,3721,93,3628,7,11,41,2,1,1,0.03,1
sneha_joshi,41381,40945,436,4726,1668,625,67,1,1,93.91,0
ishaan_bhise,1350,263,1087,39,4,37,36,1,1,0.24,1
rohan_909,3617,4,3613,11,11,172,17,0,1,0.0,1
adityakamble,43046,42907,139,2075,1709,1239,110,1,0,308.68,0
ananyasingh,4911,3327,1584,2199,385,1638,142,1,1,2.1,0
mrunal.singh,2261,8,2253,50,8,154,34,1,1,0.0,1
kavya.patil,23475,22836,639,1636,808,1954,122,1,1,35.74,0
sureshkale,4384,262,4122,63,6,123,16,1,1,0.06,1
prathameshjoshi,53845,51864,1981,2952,295,2133,156,1,1,26.18,0
amit642,5167,192,4975,27,39,127,16,0,0,0.04,1
yogesh.patil,868,275,593,44,0,42,30,1,1,0.46,1
neha_943,13314,11396,1918,3605,1973,482,136,1,1,5.94,0
arjun_patel,29325,27875,1450,2809,1822,1261,137,1,1,19.22,0
shreyasharma,57890,56520,1370,4910,1388,1194,135,1,0,41.26,0
amit_479,50096,49977,119,3587,1130,1561,63,1,0,419.97,0
ankit47,4008,275,3733,43,19,92,39,0,1,0.07,1
krishna.joshi,49870,49278,592,4113,923,2654,92,1,0,83.24,0
aditya_133,431,52,379,10,33,3,22,0,1,0.14,1
yogesh_patel,4874,91,4783,1,45,176,39,0,0,0.02,1
ishaan_37,625,297,328,24,8,64,28,0,1,0.91,1
nikita.sharma,1360,265,1095,65,44,81,10,1,0,0.24,1
nikita_patil,3598,279,3319,28,42,15,15,1,0,0.08,1
divya_263,2080,282,1798,55,37,126,23,1,1,0.16,1
aishwaryakharat,3784,137,3647,66,30,17,26,1,0,0.04,1
divya_41,67215,66464,751,4647,501,2289,148,1,0,88.5,0
ananya_patil,40961,40441,520,4827,1111,2630,123,1,1,77.77,0
ankit_880,5027,169,4858,33,20,45,46,0,0,0.03,1
aishwarya360,6556,5410,1146,3982,795,2772,136,1,0,4.72,0
kunaljadhav,36405,34657,1748,1540,1612,2283,137,1,1,19.83,0
ankit515,2763,135,2628,19,32,9,12,1,1,0.05,1
pooja526,53644,53257,387,4493,103,356,56,1,0,137.61,0
priya860,92920,92685,235,3840,1466,1757,113,1,1,394.4,0
aishwarya.jadhav,4366,12,4354,5,42,96,12,1,1,0.0,1
priya_bhise,875,268,607,72,16,137,27,1,0,0.44,1
ankit856,1595,119,1476,10,1,36,43,0,0,0.08,1
mrunal_582,523,166,357,37,40,78,25,0,0,0.46,1
nikhil_shinde,3376,135,3241,46,33,52,49,1,1,0.04,1
aishwarya.patel,2849,117,2732,4,41,127,14,1,1,0.04,1
suman_shinde,2978,223,2755,0,35,72,0,0,1,0.08,1
shreya559,4746,103,4643,43,31,130,24,1,1,0.02,1
neha92,4183,190,3993,14,24,114,48,1,1,0.05,1
yogesh815,10557,9914,643,1807,358,2916,139,1,0,15.42,0
shivali.kharat,12535,11600,935,4761,1918,1960,150,1,1,12.41,0
shreya_257,1898,96,1802,77,40,23,17,1,1,0.05,1
vihaan_11,95344,94287,1057,975,1433,340,98,1,0,89.2,0
amit_kale,655,291,364,68,21,38,21,1,0,0.8,1
prathameshkamble,79822,78826,996,334,1942,1965,88,1,0,79.14,0
mrunal_351,1541,250,1291,31,25,33,29,0,0,0.19,1
aditya.kadam,3993,164,3829,41,25,99,10,1,0,0.04,1
prajkta.jadhav,2569,255,2314,21,12,145,21,1,0,0.11,1
riya642,83515,82621,894,4329,831,441,60,1,1,92.42,0
ankit576,20015,18932,1083,4822,322,2857,68,1,0,17.48,0
aditya_987,83249,82352,897,4006,783,1469,138,1,1,91.81,0
nikita_patel,4892,126,4766,78,11,75,45,1,1,0.03,1
ananya_patel,6219,5392,827,1725,675,1157,152,1,1,6.52,0
priya330,3914,285,3629,72,12,167,42,0,1,0.08,1
vihaan_862,5174,203,4971,79,49,66,45,0,1,0.04,1
ananya_24,3083,15,3068,5,27,167,15,0,1,0.0,1
yogesh_bhise,51878,50814,1064,1320,276,2216,144,1,0,47.76,0
sneha.mehta,83070,81730,1340,610,1258,510,152,1,0,60.99,0
priya_kamble,3782,39,3743,27,33,10,10,1,0,0.01,1
riyakale,2092,190,1902,79,36,178,21,1,1,0.1,1
nikita_188,2002,218,1784,80,20,19,25,0,0,0.12,1
mrunal_chavhan,1887,164,1723,46,9,148,39,0,1,0.1,1
sai.sutar,3052,72,2980,43,30,1,0,1,1,0.02,1
amit.shinde,4779,4304,475,1508,373,2908,154,1,0,9.06,0
shivali_821,3196,21,3175,27,33,176,33,1,1,0.01,1
snehasharma,3891,50,3841,18,32,72,36,1,0,0.01,1
amit.kulkarni,32826,31714,1112,2265,1697,837,147,1,1,28.52,0
nikhil219,82048,81850,198,2415,1750,931,145,1,0,413.38,0
pooja.kharat,69580,67652,1928,2760,1341,1907,158,1,1,35.09,0
nehajoshi,3965,267,3698,46,12,144,50,0,1,0.07,1
arjun672,51747,50843,904,4412,1580,382,154,1,1,56.24,0
rahul505,4901,199,4702,48,48,47,3,0,1,0.04,1
nikita.kamble,37011,36572,439,559,719,1726,95,1,0,83.31,0
vihaan453,4734,98,4636,62,23,38,35,1,1,0.02,1
sai559,1591,57,1534,61,22,87,42,0,0,0.04,1
ankit794,4643,3,4640,73,32,150,44,1,0,0.0,1
aishwarya_440,30254,29423,831,2604,558,2423,120,1,1,35.41,0
aarav.kulkarni,89544,88866,678,493,817,1292,82,1,1,131.07,0
suman526,56795,55646,1149,182,525,1964,159,1,0,48.43,0
rahul.joshi,3633,235,3398,72,14,180,45,1,0,0.07,1
poojagaikwad,1372,99,1273,61,1,175,44,0,1,0.08,1
sneha.mehta,14873,13790,1083,1729,1159,2012,100,1,1,12.73,0
aishwaryagaikwad,12789,11840,949,477,1315,343,157,1,0,12.48,0
amit812,33925,33646,279,4076,1570,1950,120,1,1,120.59,0
shreya_456,1279,1066,213,4626,1094,957,137,1,0,5.0,0
